,Bid No.,Items,Quantity Required,Department and Address,Start Date,End Date
0,GEM/2019/B/229071,Glass Or Window Cleaners,9,"Ministry Of Defence
Militry Engineering Services
Ce Bareilly Zone Military Engineer Services",07-05-2019 04:07 PM,15-05-2019 07:00 PM
1,GEM/2019/B/225079,Drinking Water Cooler,1,"Ministry Of Labour And Employment
Na
Esic Hospital Pandeypur Varanasi Employees State Insurance Corporation (esic)",01-05-2019 04:45 PM,15-05-2019 07:00 PM
2,GEM/2019/B/229081,Laptop-Notebook,2,"Ministry Of Coal
Materials Management
Coal India Limited Hq Coal India Limited",08-05-2019 04:39 PM,15-05-2019 07:00 PM
3,GEM/2019/B/229084,"Gum (Paper Adhesives, Liquid Gum And Office Paste Type)",20,"Ministry Of Defence
Militry Engineering Services
Ce Bareilly Zone Military Engineer Services",07-05-2019 04:12 PM,15-05-2019 07:00 PM
4,GEM/2019/B/225805,Maplitho Paper,3120,"Bihar
Education Department Bihar
Tilka Manjhi Bhagalpur University N/a",02-05-2019 03:44 PM,15-05-2019 07:00 PM
5,GEM/2019/B/229106,Telegraph Paper Or Teleprinter Paper Page Roll,560,"Ministry Of Home Affairs
Central Armed Police Forces
North East Border Security Force (bsf)",07-05-2019 04:37 PM,15-05-2019 07:00 PM
6,GEM/2019/B/229111,Office Suite Software - MS Office Etc,2,"Ministry Of Coal
Materials Management
Coal India Limited Hq Coal India Limited",08-05-2019 04:43 PM,15-05-2019 07:00 PM
7,GEM/2019/B/229121,Desk Pads-writing,20,"Ministry Of Defence
Militry Engineering Services
Ce Bareilly Zone Military Engineer Services",07-05-2019 04:51 PM,15-05-2019 07:00 PM
8,GEM/2019/B/229140,Desktop Computers,30,"Ministry Of Human Resource Development
Department Of Higher Education
South West Delhi Jawaharlal Nehru University (jnu)",08-05-2019 12:25 PM,15-05-2019 07:00 PM
9,GEM/2019/B/229167,Telephone Instrument Single Push Button,100,"Pmo
Na
Isro Propulsion Complex, Mahendragiri, Tirunelveli Dist., Tamilnadu N/a",08-05-2019 04:20 PM,15-05-2019 07:00 PM
